time,power,VO2,cadence,lactate,rf,heart_rate,saturation
1,0,956.79,0,0.82667,11.252,55.5,97
2,0,849.14,0,0.82333,11.418,56.3,96
3,0,741.5,0,0.82,11.583,57,96
4,0,633.85,0,0.81667,11.748,57.8,97
5,0,526.21,0,0.81333,11.914,58.5,97
6,0,418.56,0,0.81,12.079,59.3,97
7,0,310.92,0,0.80667,12.245,60,97
8,0,353.49,0,0.80333,12.41,59.8,97
9,0,396.06,0,0.8,12.576,59.6,97
10,0,438.63,0,0.79667,12.741,59.4,97
11,0,481.2,0,0.79333,12.906,59.2,97
12,0,523.77,0,0.79,13.072,59,97
13,0,586.64,0,0.78667,12.746,59.4,97
14,0,649.5,0,0.78333,12.42,59.9,96
15,0,712.37,0,0.78,12.095,60.3,97
16,0,775.24,0,0.77667,11.769,60.7,97
17,0,838.11,0,0.77333,11.443,61.1,97
18,0,900.97,0,0.77,11.117,61.6,96
19,0,963.84,0,0.76667,10.791,62,96
20,0,895.91,0,0.76333,10.266,61.1,96
21,0,827.97,0,0.76,9.7396,60.2,96
22,0,760.04,0,0.75667,9.2138,59.3,96
23,0,692.1,0,0.75333,8.6879,58.3,96
24,0,624.17,0,0.75,8.162,57.4,96
25,0,556.24,0,0.74667,7.6362,56.5,96
26,0,488.3,0,0.74333,7.1103,55.6,95
27,0,420.37,0,0.74,6.5844,54.7,95
28,0,352.44,0,0.73667,6.0586,53.8,95
29,0,284.5,0,0.73333,5.5327,52.8,95
30,0,216.57,0,0.73,5.0068,51.9,95
31,0,148.63,0,0.72667,4.481,51,95
32,0,166.52,0,0.72333,4.8321,51.1,95
33,0,184.4,0,0.72,5.1833,51.3,96
34,0,202.28,0,0.71667,5.5345,51.4,96
35,0,220.17,0,0.71333,5.8857,51.5,96
36,0,238.05,0,0.71,6.2369,51.6,96
37,0,255.93,0,0.70667,6.588,51.8,97
38,0,273.82,0,0.70333,6.9392,51.9,97
39,0,291.7,0,0.7,7.2904,52,97
40,0,278.11,0,0.69667,7.5457,52.4,97
41,0,264.51,0,0.69333,7.8009,52.9,97
42,0,250.92,0,0.69,8.0562,53.3,97
43,0,237.32,0,0.68667,8.3114,53.7,97
